medMz	medRt	compound	category	rt_diff	parent	mh_ctrl1	mh_ctrl2	mh_ctrl3	mh_eco1	mh_eco2	mh_eco3	mh_kpn1	mh_kpn2	mh_kpn3	mh_spn1	mh_spn2	mh_spn3
341.1078	7.542054	D-[+]-CELLOBIOSE	T	0.06794596	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	PALATINOSE	T	0.2479458	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	D-[+]-TREHALOSE	T	0.5879459	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	SUCROSE	T	0.2879457	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	MELIBIOSE	T	0.6579456	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	SUCROSE	T	-0.04205418	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	D-LACTOSE	T	0.507946	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1079	7.97586	D-LACTOSE	T	0.07414055	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	MALTOSE	T	0.01414013	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	PALATINOSE	T	-0.1858597	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	SUCROSE	T	-0.4758596	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	D-[+]-CELLOBIOSE	T	-0.3658595	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	MELIBIOSE	T	0.2241402	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	D-[+]-TREHALOSE	T	0.1541405	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	SUCROSE	T	-0.1458597	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	D-LACTOSE	T	-0.1158595	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
341.1079	7.97586	D-[+]-CELLOBIOSE	T	0.01414013	341.1079	0	0	0	0	-104628.4	-104399.5	0	-120435.6	0	0	0	0
168.0661	8.054528	PYRIDOXINE	B-3min	0.03547192	168.0661	-14943.361	-10496.466	0	0	0	0	0	-27750.36	0	0	0	0
168.0661	8.054528	NORADRENALINE	B-2.5min	0.04547215	168.0661	-14943.361	-10496.466	0	0	0	0	0	-27750.36	0	0	0	0
168.0661	8.054528	PYRIDOXINE	B-3min	0.6854715	168.0661	-14943.361	-10496.466	0	0	0	0	0	-27750.36	0	0	0	0
118.0506	8.067782	L-ALLOTHREONINE	T	-0.02778244	118.0506	0	0	0	0	-5014640.35	-5096273.7	0	-5411581.14	-5469766.74	0	0	0
118.0506	8.067782	HOMOSERINE	T	0.03221798	118.0506	0	0	0	0	-5014640.35	-5096273.7	0	-5411581.14	-5469766.74	0	0	0
